att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
40,47,238976,62832,42586,8470,7789,9188,2459,5670,left
27,44,63203,49447,20547,9967,3649,24504,5298,2200,left
16,51,85440,64073,14101,5343,9002,27629,3757,1963,left
8,43,74215,21231,6221,8743,4722,6494,6460,2153,left
40,50,147105,172139,23461,8407,6882,11006,9078,1977,left
54,35,95346,115573,41268,7029,3848,8104,4603,2969,left
54,24,98585,80920,16122,16667,5769,4676,4104,4334,left
61,30,78937,48093,5702,8535,5594,13925,5085,3342,left
44,34,72425,79467,7634,44189,36482,18860,9619,2104,left
61,37,728000,158030,7460,4716,9438,8695,5564,5547,left
63,41,141188,143315,11526,12677,9731,27970,3551,5748,left
48,43,1141815,52968,25527,6446,11176,15150,1938,4284,left
40,41,1256564,75269,31756,8681,10429,8618,8441,3605,left
37,51,98375,65242,8644,3624,11828,39357,3026,2886,left
21,50,88221,146853,19040,16808,12274,10493,3947,1594,left
34,54,164975,107173,60204,20478,8257,32326,4780,4658,left
54,57,106710,97466,27946,17001,8185,6719,3365,4181,left
50,66,127172,27871,3705,6282,4530,6451,1909,1403,left
80,78,57100,161927,26398,8791,5372,13128,6414,5360,left
67,63,55819,31041,8392,31785,6730,11781,5244,2622,left
41,60,72130,9766,6067,6071,4891,4514,2836,2002,left
54,53,27227,28544,17579,4764,3952,2806,637,777,left
37,47,1050596,43205,32201,14109,13417,9411,6979,4356,left
60,54,94581,164502,5413,24697,8435,14049,4230,4964,left
75,41,76920,157355,26169,53034,11238,18368,6339,3273,left
80,48,93200,107559,28854,20852,29332,19026,3867,3786,left
100,43,268640,294226,74410,33067,18519,23939,6474,4844,left
100,43,61788,26389,13815,6404,9351,14635,6439,1583,left
94,50,22778,81588,9187,5064,11063,30770,4569,4620,left
81,43,29020,13496,6364,14757,8294,13456,3521,4917,left
40,53,10008,21477,5568,6645,11028,25700,2446,4916,left
13,56,433841,22093,5730,12421,13164,17732,2635,1316,left
26,57,680943,165317,23377,15313,6759,7485,6572,2855,left
13,57,72953,83955,21108,14040,12723,23228,5718,4715,left
17,50,86584,113435,53925,15116,4500,18309,2858,3089,left
17,54,157558,113620,59177,7100,9004,5070,4530,7612,left
24,57,131800,124444,34635,8930,14283,29924,7752,2976,left
44,64,62015,51143,9205,12921,3139,13052,3673,1488,left
61,57,57636,72563,9617,8131,3100,3712,4728,2032,left
77,50,353699,42544,41776,10043,5044,13804,6501,2038,left
77,53,259751,34929,9822,10063,7099,8132,4267,2049,left
56,48,285682,18719,11619,5865,5622,5666,3117,2515,left
50,53,93976,147933,2324,19106,15629,17034,7347,4178,left
35,44,50227,42072,21452,3262,9960,10466,3207,2218,left
21,35,13701,33828,29111,4583,8703,22880,2495,1631,left
14,26,28039,137135,51938,5281,7728,9591,4860,1714,left
16,27,238136,98474,3129,18228,7581,4744,7553,6199,left
13,41,91244,37948,4242,2708,2106,9751,1272,1178,left
17,47,146818,162806,29754,9957,10773,31338,9092,3908,left
27,63,113934,227308,24655,13190,8036,19253,2440,2742,left
26,70,125115,89888,2147,22393,7706,9777,10568,2443,left
37,66,356487,102117,30225,45612,7493,14347,3881,2005,left
27,66,139393,87062,32804,9448,8739,26474,2853,2261,left
30,51,175530,74717,60751,32246,9373,22061,2944,4616,left
30,56,167046,106594,53024,10577,10866,23472,2610,1219,left
34,54,111820,154036,66606,5263,16623,15670,1896,2289,left
40,53,520038,87941,24506,11434,5128,16638,2784,1472,left
41,56,126296,184337,15018,21858,16100,6378,3355,2887,left
35,48,31981,38103,15027,24109,5037,9593,5212,2143,left
34,50,70580,61080,21169,5747,7663,7400,1860,6293,left
34,53,43855,138375,19051,17716,10254,13986,4644,2306,left
40,51,63336,86764,28269,4837,9615,27697,6052,2229,left
47,57,67971,99580,26297,14571,5890,15586,3203,2590,left
44,60,71310,48287,21625,7480,6646,15329,5312,1973,left
51,57,64330,65857,2358,30184,6158,19878,4654,4473,left
47,54,100391,53966,18352,3758,9000,23657,3270,2248,left
50,57,120169,40007,27466,18282,5160,21056,7307,2004,left
56,61,120591,66837,15033,26923,7771,12973,3389,3921,left
54,66,37472,91586,22231,13343,13061,19622,3294,2406,left
50,77,227590,82934,9615,9565,8540,16078,4605,7571,left
60,70,56236,54823,56438,5234,8873,5398,2897,1543,left
51,66,194905,57036,27085,29204,12411,9707,4970,2454,left
56,63,82331,81125,21622,37230,12025,12179,8685,6296,left
56,66,146200,44563,23112,8256,5302,14990,2942,5223,left
56,64,759127,52970,27222,22202,13848,11610,7092,4606,left
